,species,authors,citation,year_of_publication,year_of_data_collection,month,state,location,gps_coordinates,lat,lon,scale,urban,habitat,density_per_km2,highest_density_multiple_records,range_av_per_km2,av_rainfall,annual_rain_at_time_of_study,baited,dingoes_present,method,confidence_in_density_estimate,notes,notes2,time,years,ninoa,month_int,r_index,worldclim
51,fox,Risbey et al,"The impact of cats and foxes on the small vertebrate fauna of Heirisson Prong, Western Australia. II. A field experiment",2000,1991,Jun,WA,Heirisson Prong Zone 1 Cape Heirison,"26""10'S, 113""23'E",-26.05925,113.375473,12km2,No,Coastal heath,0.01,,,,,yes,,spotlighting,High,"Zone 1 (low cat, low fox)",vegetation and topography are described in Risbey et al. (1997),1991,1991,nino,6,1991-06,123.560035705566
52,fox,Risbey et al,"The impact of cats and foxes on the small vertebrate fauna of Heirisson Prong, Western Australia. II. A field experiment",2000,1991,Oct,WA,Heirisson Prong Zone 1 Cape Heirison,"26""10'S, 113""23'E",-26.05925,113.375473,12km2,No,Coastal heath,0.04,,,,,yes,,spotlighting,High,"Zone 1 (low cat, low fox)",vegetation and topography are described in Risbey et al. (1997),1991,1991,nino,10,1991-10,165.466491699219
53,fox,Risbey et al,"The impact of cats and foxes on the small vertebrate fauna of Heirisson Prong, Western Australia. II. A field experiment",2000,1991,Dec,WA,Heirisson Prong Zone 1 Cape Heirison,"26""10'S, 113""23'E",-26.05925,113.375473,12km2,No,Coastal heath,0.01,,,,,yes,,spotlighting,High,"Zone 1 (low cat, low fox)",vegetation and topography are described in Risbey et al. (1997),1991,1991,nino,12,1991-12,149.650497436523
54,fox,Thompson and Fleming (1994),"Thompson, J. & Fleming, P. (1994). Evaluation of the Efficacy of 1080 Poisoning of Red Foxes Using Visitation to Non-Toxic Baits as an Index of Fox Abundance. Wildlife Research, 21, 27-39.",1994,1991,Aug,NSW,northern Tablelands (2-15km from Glen Innes),"29""45'S,15l""43'E",-29.75,151.716667,8.8km2,No,Temperate agricultural (northern tablelands New South Wales),0.56,,"4.6""7.2",,,no,,daily bait interference ,Medium,Site 1,index transformed using asymptotic function,1991,1991,nino,8,1991-08,373.672088623047
55,fox,Thompson and Fleming (1994),"Thompson, J. & Fleming, P. (1994). Evaluation of the Efficacy of 1080 Poisoning of Red Foxes Using Visitation to Non-Toxic Baits as an Index of Fox Abundance. Wildlife Research, 21, 27-39.",1994,1991,Aug,NSW,northern Tablelands (2-15km from Glen Innes),"29""45'S,15l""43'E",-29.75,151.716667,10.4km2,No,Temperate agricultural (northern tablelands New South Wales),0.6,,"4.6""7.2",,,no,,daily bait interference ,Medium,Site 2,index transformed using asymptotic function,1991,1991,nino,8,1991-08,373.672088623047
56,fox,Thompson and Fleming (1994),"Thompson, J. & Fleming, P. (1994). Evaluation of the Efficacy of 1080 Poisoning of Red Foxes Using Visitation to Non-Toxic Baits as an Index of Fox Abundance. Wildlife Research, 21, 27-39.",1994,1991,Aug,NSW,northern Tablelands (2-15km from Glen Innes),"29""45'S,15l""43'E",-29.75,151.716667,9.9km2,No,Temperate agricultural (northern tablelands New South Wales),0.72,,"4.6""7.2",,,no,,daily bait interference ,Medium,Site 3,index transformed using asymptotic function,1991,1991,nino,8,1991-08,373.672088623047
57,fox,Thompson and Fleming (1994),"Thompson, J. & Fleming, P. (1994). Evaluation of the Efficacy of 1080 Poisoning of Red Foxes Using Visitation to Non-Toxic Baits as an Index of Fox Abundance. Wildlife Research, 21, 27-39.",1994,1991,Aug,NSW,northern Tablelands (2-15km from Glen Innes),"29""45'S,15l""43'E",-29.75,151.716667,10.9km2,No,Temperate agricultural (northern tablelands New South Wales),0.74,,"4.6""7.2",,,no,,daily bait interference ,Medium,Site 4,index transformed using asymptotic function,1991,1991,nino,8,1991-08,373.672088623047
58,fox,Thompson and Fleming (1994),"Thompson, J. & Fleming, P. (1994). Evaluation of the Efficacy of 1080 Poisoning of Red Foxes Using Visitation to Non-Toxic Baits as an Index of Fox Abundance. Wildlife Research, 21, 27-39.",1994,1991,Aug,NSW,northern Tablelands (2-15km from Glen Innes),"29""45'S,15l""43'E",-29.75,151.716667,8.8km2,No,Temperate agricultural (northern tablelands New South Wales),0.19,,"4.6""7.2",,,no,,daily bait interference ,Medium,Site 1,index transformed using asymptotic function,1991,1991,nino,8,1991-08,373.672088623047
59,fox,Thompson and Fleming (1994),"Thompson, J. & Fleming, P. (1994). Evaluation of the Efficacy of 1080 Poisoning of Red Foxes Using Visitation to Non-Toxic Baits as an Index of Fox Abundance. Wildlife Research, 21, 27-39.",1994,1991,Aug,NSW,northern Tablelands (2-15km from Glen Innes),"29""45'S,15l""43'E",-29.75,151.716667,10.4km2,No,Temperate agricultural (northern tablelands New South Wales),0.16,,"4.6""7.2",,,yes,,daily bait interference ,Medium,Site 2,index transformed using asymptotic function,1991,1991,nino,8,1991-08,373.672088623047
60,fox,Thompson and Fleming (1994),"Thompson, J. & Fleming, P. (1994). Evaluation of the Efficacy of 1080 Poisoning of Red Foxes Using Visitation to Non-Toxic Baits as an Index of Fox Abundance. Wildlife Research, 21, 27-39.",1994,1991,Aug,NSW,northern Tablelands (2-15km from Glen Innes),"29""45'S,15l""43'E",-29.75,151.716667,9.9km2,No,Temperate agricultural (northern tablelands New South Wales),1.22,,"4.6""7.2",,,no,,daily bait interference ,Medium,Site 3,index transformed using asymptotic function,1991,1991,nino,8,1991-08,373.672088623047
61,fox,Thompson and Fleming (1994),"Thompson, J. & Fleming, P. (1994). Evaluation of the Efficacy of 1080 Poisoning of Red Foxes Using Visitation to Non-Toxic Baits as an Index of Fox Abundance. Wildlife Research, 21, 27-39.",1994,1991,Aug,NSW,northern Tablelands (2-15km from Glen Innes),"29""45'S,15l""43'E",-29.75,151.716667,10.9km2,No,Temperate agricultural (northern tablelands New South Wales),0.85,,"4.6""7.2",,,yes,,daily bait interference ,Medium,Site 4,index transformed using asymptotic function,1991,1991,nino,8,1991-08,373.672088623047
